pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,828.3497474391572
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,839.6934691611361
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,849.3175860925307
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,850.6235431926659
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,845.2567656833594
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,835.8350761525046
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,828.1622968792815
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,828.3497474391572
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,840.4972379110977
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,849.7090571286888
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,852.9847542072055
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,844.9071546961327
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,835.7983471799587
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,828.1622968792815
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,828.4279403162041
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,838.5438729666578
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,849.9785794503609
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,853.488937950546
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,844.8957933218619
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,835.7760861069696
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,825.6790209974838
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,827.6872568715573
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,841.0968574695848
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,851.5720772569607
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,853.8197480449411
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,849.3175860925307
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,839.6934691611361
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,828.2404897563283
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,829.9255382310779
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,840.6105428222647
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,852.9733928329347
